State,State Tax Rate,State Tax Rank,Avg. Local Tax Rate,Max Local,Combined Tax Rate,Combined Rank
Maranhão,22.00%,1,0.00%,0.00%,22.00%,1
Piauí,21.00%,2,0.00%,0.00%,21.00%,2
Bahia,20.50%,3,0.00%,0.00%,20.50%,3
Pernambuco,20.50%,4,0.00%,0.00%,20.50%,4
Ceará,20.00%,5,0.00%,0.00%,20.00%,5
Paraíba,20.00%,6,0.00%,0.00%,20.00%,6
Rio de Janeiro,20.00%,7,0.00%,0.00%,20.00%,7
Tocantins,20.00%,8,0.00%,0.00%,20.00%,8
Distrito Federal,20.00%,9,0.00%,0.00%,20.00%,9
Amazonas,20.00%,10,0.00%,0.00%,20.00%,10
Roraima,20.00%,11,0.00%,0.00%,20.00%,11
Paraná,19.50%,12,0.00%,0.00%,19.50%,12
Rondônia,19.50%,13,0.00%,0.00%,19.50%,13
Acre,19.00%,14,0.00%,0.00%,19.00%,14
Alagoas,19.00%,15,0.00%,0.00%,19.00%,15
Pará,19.00%,16,0.00%,0.00%,19.00%,16
Sergipe,19.00%,17,0.00%,0.00%,19.00%,17
Goiás,19.00%,18,0.00%,0.00%,19.00%,18
Rio Grande do Norte,18.00%,19,0.00%,0.00%,18.00%,19
Amapá,18.00%,20,0.00%,0.00%,18.00%,20
Minas Gerais,18.00%,21,0.00%,0.00%,18.00%,21
São Paulo,18.00%,22,0.00%,0.00%,18.00%,22
Espírito Santo,17.00%,23,0.00%,0.00%,17.00%,23
Mato Grosso,17.00%,24,0.00%,0.00%,17.00%,24
Mato Grosso do Sul,17.00%,25,0.00%,0.00%,17.00%,25
Rio Grande do Sul,17.00%,26,0.00%,0.00%,17.00%,26
Santa Catarina,17.00%,27,0.00%,0.00%,17.00%,27
