State,State Tax Rate,State Tax Rank,Avg. Local Tax Rate,Max Local,Combined Tax Rate,Combined Rank
Alberta,0.00%,13,0.00%,0.00%,5.00%,10
British Columbia,7.00%,2,0.00%,0.00%,12.00%,7
Manitoba,7.00%,2,0.00%,0.00%,12.00%,7
New Brunswick,15.00%,1,0.00%,0.00%,15.00%,1
Newfoundland and Labrador,15.00%,1,0.00%,0.00%,15.00%,1
Nova Scotia,14.00%,4,0.00%,0.00%,14.00%,5
Northwest Territories,0.00%,13,0.00%,0.00%,5.00%,10
Nunavut,0.00%,13,0.00%,0.00%,5.00%,10
Ontario,13.00%,5,0.00%,0.00%,13.00%,6
Prince Edward Island,15.00%,1,0.00%,0.00%,15.00%,1
Quebec,9.98%,6,0.00%,0.00%,14.98%,4
Saskatchewan,6.00%,7,0.00%,0.00%,11.00%,9
Yukon,0.00%,13,0.00%,0.00%,5.00%,10
